icao24,origin_country,velocity,on_ground
39de4e,France,214.9,False
80162d,India,235.9,False
80162a,India,145.62,False
aa8c39,United States,0.0,True
7c6b2f,Australia,216.17,False
39de4b,France,219.5,False
39de4a,France,130.82,False
408124,United Kingdom,233.69,False
39de4d,France,210.5,False
7c6b2b,Australia,136.02,False
88044d,Thailand,229.4,False
801641,India,236.35,False
abd9d9,United States,235.45,False
39de58,France,206.48,False
801640,India,230.23,False
440da5,Austria,218.73,False
880453,Thailand,232.01,False
39de51,France,219.92,False
39de53,France,145.15,False
7c35f0,Australia,34.61,False
39de55,France,282.25,False
39de54,France,213.38,False
4b1803,Switzerland,232.12,False
4b1805,Switzerland,198.63,False
4b1806,Switzerland,0.0,True
80163c,India,226.11,False
4b1800,Switzerland,58.12,False
4b1802,Switzerland,232.74,False
7c6b31,Australia,233.46,False
7c6b30,Australia,223.27,False
c822c6,New Zealand,120.63,False
aa8c0e,United States,34.99,False
4952ca,Portugal,217.36,False
7c6b39,Australia,200.37,False
4952cc,Portugal,233.48,False
7c6b38,Australia,156.02,False
880441,Thailand,107.01,False
80163f,India,214.48,False
aa69f9,United States,193.85,False
7c6b19,Australia,144.17,False
801616,India,232.26,False
aaa6e4,United States,279.68,False
801623,India,75.11,False
801621,India,226.02,False
4952d1,Portugal,1.29,True
801622,India,225.85,False
851914,Japan,238.4,False
80160f,India,245.12,False
403dd9,United Kingdom,47.43,False
4b181a,Switzerland,11.32,True
4b181c,Switzerland,41.16,True
80161c,India,239.89,False
7c2ebe,Australia,0.9,True
4952c2,Portugal,164.41,False
4952c3,Portugal,235.56,False
4952c4,Portugal,7.2,True
39de46,France,258.97,False
407a05,United Kingdom,259.6,False
801631,India,135.2,False
440db0,Austria,200.18,False
39de47,France,201.63,False
801634,India,199.03,False
39de49,France,227.08,False
ab63d7,United States,263.23,False
407a06,United Kingdom,248.6,False
a77ed1,United States,44.7,False
7c6b17,Australia,168.18,False
440db8,Austria,7.2,True
39de40,France,236.77,False
39de42,France,186.44,False
39de41,France,240.36,False
4b180a,Switzerland,209.19,False
39de43,France,242.99,False
80166c,India,73.05,False
ac2f83,United States,254.6,False
3c6668,Germany,14.4,True
8a02d6,Indonesia,184.72,False
44028c,Austria,186.64,False
3c6667,Germany,102.95,False
511188,Estonia,197.47,False
aad012,United States,278.95,False
c822ed,New Zealand,125.08,False
4acb01,Sweden,238.25,False
48d210,Poland,63.36,False
4acb02,Sweden,218.73,False
3c664f,Germany,0.0,True
4acb04,Sweden,186.6,False
ac83ad,United States,5.14,False
51116f,Estonia,64.95,False
4bc8c7,Turkey,56.19,False
a7b057,United States,252.92,False
4bc8c1,Turkey,208.92,False
80167c,India,114.85,False
3c6677,Germany,185.78,False
511171,Estonia,224.71,False
511172,Estonia,197.65,False
0a00c4,Algeria,118.17,False
801699,India,231.34,False
3c6672,Germany,12.86,True
4bc8d6,Turkey,187.57,False
3c6675,Germany,2.06,True
a58e1e,United States,223.01,False
80164e,India,237.98,False
47b217,Norway,219.05,False
471eff,Hungary,148.86,False
60111c,Kyrgyzstan,34.96,False
471efc,Hungary,221.57,False
801663,India,2.57,True
40812e,United Kingdom,145.69,False
801662,India,232.53,False
801667,India,260.18,False
ac3688,United States,0.0,True
801666,India,204.04,False
40812d,United Kingdom,51.29,False
44029f,Austria,63.67,False
511195,Estonia,142.84,False
abfc71,United States,121.48,False
80165a,India,181.7,False
511194,Estonia,232.89,False
7c6b3c,Australia,0.0,True
3f76b9,Germany,55.69,False
801671,India,215.64,False
3455da,Spain,0.0,True
a94b50,United States,118.75,False
4712a9,Hungary,72.59,False
4acb42,Sweden,141.5,False
4acb44,Sweden,205.86,False
e80211,Chile,238.72,False
e80210,Chile,240.56,False
3c65a3,Germany,252.63,False
4b187b,Switzerland,244.32,False
